Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 15:59:00,1.276911,1.276911,1.276911,1.276911,0.000000
2019-01-07 16:00:00,1.277221,1.277221,1.277221,1.277221,0.000000
2019-01-07 16:02:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 16:04:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 16:05:00,1.277498,1.277498,1.277498,1.277498,0.000000
2019-01-07 16:07:00,1.276732,1.276732,1.276732,1.276732,0.000000
2019-01-07 16:09:00,1.276732,1.276732,1.276732,1.276732,0.000000
2019-01-07 16:10:00,1.276520,1.276520,1.276520,1.276520,0.000000
2019-01-07 16:12:00,1.276536,1.276536,1.276536,1.276536,0.000000
2019-01-07 16:14:00,1.276324,1.276389,1.276324,1.276389,0.000000
2019-01-07 16:17:00,1.276389,1.276389,1.276389,1.276389,0.000000
2019-01-07 16:18:00,1.276389,1.276389,1.276389,1.276389,0.000000
2019-01-07 16:20:00,1.276129,1.276129,1.276129,1.276129,0.000000
2019-01-07 16:22:00,1.276080,1.276080,1.276080,1.276080,0.000000
2019-01-07 16:24:00,1.275852,1.275901,1.275852,1.275901,0.000000
2019-01-07 16:27:00,1.275640,1.275640,1.275640,1.275640,0.000000
2019-01-07 16:29:00,1.275494,1.275494,1.275494,1.275494,0.000000
2019-01-07 16:30:00,1.275559,1.275559,1.275559,1.275559,0.000000
2019-01-07 16:32:00,1.275592,1.275592,1.275592,1.275592,0.000000
2019-01-07 16:34:00,1.275787,1.275787,1.275787,1.275787,0.000000
2019-01-07 16:35:00,1.275331,1.275331,1.275331,1.275331,0.000000
2019-01-07 16:37:00,1.275461,1.275461,1.275461,1.275461,0.000000
2019-01-07 16:39:00,1.275283,1.275478,1.275283,1.275478,0.000000
2019-01-07 16:42:00,1.275722,1.275722,1.275722,1.275722,0.000000
2019-01-07 16:44:00,1.275901,1.276308,1.275901,1.276308,0.000000
2019-01-07 16:47:00,1.276080,1.276080,1.276080,1.276080,0.000000
2019-01-07 16:49:00,1.276161,1.276161,1.276161,1.276161,0.000000
2019-01-07 16:50:00,1.276194,1.276194,1.276194,1.276194,0.000000
2019-01-07 16:52:00,1.276487,1.276487,1.276487,1.276487,0.000000
2019-01-07 16:54:00,1.276275,1.276275,1.276275,1.276275,0.000000
2019-01-07 16:55:00,1.276275,1.276275,1.276275,1.276275,0.000000
2019-01-07 16:57:00,1.276552,1.276552,1.276552,1.276552,0.000000
2019-01-07 16:59:00,1.275771,1.275771,1.275771,1.275771,0.000000
2019-01-07 17:00:00,1.275722,1.275722,1.275722,1.275722,0.000000
2019-01-07 17:02:00,1.275852,1.275852,1.275852,1.275852,0.000000
2019-01-07 17:04:00,1.276080,1.276080,1.275966,1.275966,0.000000
2019-01-07 17:07:00,1.276080,1.276080,1.276080,1.276080,0.000000
2019-01-07 17:09:00,1.276357,1.276357,1.276357,1.276357,0.000000
2019-01-07 17:10:00,1.276292,1.276292,1.276292,1.276292,0.000000
2019-01-07 17:12:00,1.276487,1.276487,1.276487,1.276487,0.000000
2019-01-07 17:14:00,1.276829,1.276829,1.276829,1.276829,0.000000
2019-01-07 17:15:00,1.276878,1.276878,1.276878,1.276878,0.000000
2019-01-07 17:17:00,1.277074,1.277074,1.277074,1.277074,0.000000
2019-01-07 17:19:00,1.277270,1.277270,1.277270,1.277270,0.000000
2019-01-07 17:20:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 17:22:00,1.277090,1.277090,1.277090,1.277090,0.000000
2019-01-07 17:24:00,1.277580,1.277580,1.277580,1.277580,0.000000
